LABEL,TEXT
0,i can't have a friend in the house because i'm embarassed that everything is scattered on the floor. i think we should work on it.
0,raji..pls do me a favour. pls convey my birthday wishes to nimya.
1,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701462. claim code kl345.
0,i have 2 docs appointments next week.:/ i'm tired of them shoving stuff up me. ugh why couldn't i have had a normal body?
0,lol ... no just was busy
0,where's my boytoy? i miss you ... what happened?
1,free unlimited hardcore porn direct 2 your mobile txt porn to 69200 & get free access for 24 hrs then chrgd@50p per day txt stop 2exit. this msg is free
0,"customer place, i wil cal u sir."
1,reminder: you have not downloaded the content you have already paid for. goto http://doit. mymoby. tv/ to collect your content.
0,so ü pay first lar... then when is da stock comin...
0,howz that persons story
0,me fine..absolutly fine�.dont worry!!!
0,unlimited texts. limited minutes.
0,one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting.. -
0,congratulations ore mo owo re wa. enjoy it and i wish you many happy moments to and fro wherever you go
0,k:)k:)good:)study well.
0,i know you mood off today
0,nope. meanwhile she talk say make i greet you.
0,mmmm.... i cant wait to lick it!
0,nooooooo i'm gonna be bored to death all day. cable and internet outage.
0,baaaaabe! i misss youuuuu ! where are you ? i have to go and teach my class at 5 ...
1,how about getting in touch with folks waiting for company? just txt back your name and age to opt in! enjoy the community (150p/sms)
0,i want to send something that can sell fast. &lt;#&gt; k is not easy money.
1,sex up ur mobile with a free sexy pic of jordan! just text babe to 88600. then every wk get a sexy celeb! pocketbabe.co.uk 4 more pics. 16 £3/wk 087016248
1,panasonic & bluetoothhdset free. nokia free. motorola free & doublemins & doubletxt on orange contract. call mobileupd8 on 08000839402 or call 2optout
0,what i'm saying is if you haven't explicitly told nora i know someone i'm probably just not gonna bother
0,"nothing. i meant that once the money enters your account here, the bank will remove its flat rate. someone transfered &lt;#&gt; to my account and &lt;#&gt; dollars got removed. so the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
0,back in brum! thanks for putting us up and keeping us all and happy. see you soon
0,no objection. my bf not coming.
0,"what are you doing in langport? sorry, but i'll probably be in bed by 9pm. it sucks being ill at xmas! when do you and go2sri lanka?"
0,hello hun how ru? its here by the way. im good. been on 2 dates with that guy i met in walkabout so far. we have to meet up soon. hows everyone else?
1,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl"
0,"no i'm not. i can't give you everything you want and need. you actually could do better for yourself on yor own--you've got more money than i do. i can't get work, i can't get a man, i can't pay the rent, i can't even fill my gas tank. yes, i'm stressed and depressed. i didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
0,miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though i am miles away from u.. :-)keep smiling.. good nyt
0,"what do u reckon as need 2 arrange transport if u can't do it, thanks"
0,"actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
0,what do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but only to my wife of my liking.be that and see..no one can give you that.dont call me.i will wait till i come.
0,"you have come into my life and brought the sun ..shiny down on me, warming my heart. putting a constant smile on my face ... making me feel loved and cared for"
0,"good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen"
0,hi babe u r most likely to be in bed but im so sorry about tonight! i really wanna see u tomorrow so call me at 9. love me xxx
0,there are no other charges after transfer charges and you can withdraw anyhow you like
1,"nationwide has noticed your debit card was recently used on 25-10-2015 13.04.43, at apple online store for 1976.00 gbp. if not you please urgently call fraud preventaion on 03303800232 or intl +443303800231. do not reply by sms http://www.nationwide.co.uk/"
0,speaking of does he have any cash yet?
1,"your free ringtone is waiting to be collected. simply text the password ""mix"" to 85069 to verify. get usher and britney."
0,"do you know why god created gap between your fingers..? so that, one who is made for you comes and fills those gaps by holding your hand with care..!"
0,"mah b, i'll pick it up tomorrow"
0,que pases un buen tiempo or something like that
0,hey i've booked the 2 lessons on sun liao...
0,"forgot it takes me 3 years to shower, sorry. where you at/your phone dead yet?"
0,meanwhile in the shit suite: xavier decided to give us &lt;#&gt; seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. also i don't think doug realizes i don't live here anymore
1,"dear v0daf0ne customer,you are a w1nner of rs. 1,00,000 guaranteed prize, this is our final attempt to contact you! to claim call 6299257179 now!"
1,call freephone 0800 542 0578 now!
0,"hi this is yijue, can i meet u at 11 tmr?"
1,"bored of speed dating? try speedchat, txt speedchat to 80155, if you don't like em txt swap and get a new chatter! chat80155 pobox36504w45wq 150p/msg rcd 16"
0,yoyyooo u know how to change permissions for a drive in mac. my usb flash drive
0,"yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
0,"my sister in law, hope you are having a great month. just saying hey. abiola"
0,lovely smell on this bus and it ain't tobacco...
0,i hate when she does this. she turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
0,lol what happens in vegas stays in vegas
0,am i the only one who doesn't stalk profiles?
0,i had a good time too. its nice to do something a bit different with my weekends for a change. see ya soon
0,"im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x."
0,stop the story. i've told him i've returned it and he's saying i should not re order it.
0,"cool, i'll text you in a few"
0,get ready to put on your excellent sub face :)
0,"they can try! they can get lost, in fact. tee hee"
0,oh k...i'm watching here:)
0,sday only joined.so training we started today:)
0,ok going to sleep. hope i can meet her.
0,"dude u knw also telugu..thts gud..k, gud nyt.."
1,call germany for only 1 pence per minute! call from a fixed line via access number 0844 861 85 86.
0,what's a feathery bowa? is that something guys have that i don't know about?
0,great to hear you are settling well. so what's happenin wit ola?
0,oh god..taken the teeth?is it paining
0,ummmmmaah many many happy returns of d day my dear sweet heart.. happy birthday dear
1,"(help-center canada) you received a transfer from the government due to the coronavirus pandemic, click:http://23.254.215.52 to fill out your application."
0,speak only when you feel your words are better than the silence... gud mrng:-)
0,"jolly good! by the way, will give u tickets for sat eve 7.30. speak before then x"
0,thanks for yesterday sir. you have been wonderful. hope you enjoyed the burial. mojibiola
0,k.:)you are the only girl waiting in reception ah?
0,can you just come in for a sec? there's somebody here i want you to see
1,we tried to contact you re your reply to our offer of a video handset? 750 anytime any networks mins? unlimited text? call 08000930705 now
0,"i‘ll leave around four, ok?"
0,dun need to use dial up juz open da browser n surf...
0,hanging out with my brother and his family
0,5000 ish minutes was 5 minutes ago. wtf.
0,slept? i thinkthis time ( &lt;#&gt; pm) is not dangerous
0,good afternoon starshine! how's my boytoy? does he crave me yet? *sips cappuccino* i miss you babe *teasing kiss*
1,ever thought about living a good life with a perfect partner? just txt back name and age to join the mobile community. (100p/sms)
0,please tell me you have some of that special stock you were talking about
0,sry da..jst nw only i came to home..
0,i am on the way to tirupur.
1,"dear customer,u've been selected to stay in f1ve star hotels - for t0day's draw! holiday valued at inr 5,00,000.dial 6299257179 to claim"
0,wat makes some people dearer is not about de happiness dat u feel when u meet them but about d pain u feel when u miss dem!!!
0,"""are you comingdown later?"""
0,wow so healthy. old airport rd lor. cant thk of anything else. but i'll b bathing my dog later.
0,have you not finished work yet or something?
0,holy living christ what is taking you so long
0,i was gonna ask you lol but i think its at 7
0,this is ur face test ( 1 2 3 4 5 6 7 8 9 &lt;#&gt; ) select any number i will tell ur face astrology.... am waiting. quick reply...
0,"i'm eatin now lor, but goin back to work soon... e mountain deer show huh... i watch b4 liao, very nice..."
1,"thanks for your ringtone order, reference number x49.your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182"
0,how much you got for cleaning
0,me sef dey laugh you. meanwhile how's my darling anjie!
0,"we are at grandmas. oh dear, u still ill? i felt shit this morning but i think i am just hungover! another night then. we leave on sat."
0,lmao!nice 1
0,do you like italian food?
0,jade its paul. y didnt u txt me? do u remember me from barmed? i want 2 talk 2 u! txt me
0,your dad is back in ph?
0,so why didnt you holla?
0,dear are you angry i was busy dear
0,u coming 2 pick me?
0,"sweet, we may or may not go to 4u to meet carlos so gauge patty's interest in that"
1,"your mobile number has won 3.6 crore from samsung uk award to receive your prize,send ur name, mobile,n0,addres, age,sex, occup to�samsungzoneuk@outlook.com"
0,yunny... i'm goin to be late
0,wanna do some art?! :d
0,"sweetheart, hope you are not having that kind of day! have one with loads of reasons to smile. biola"
0,do u noe wat time e place dat sells 4d closes?
0,mm so you asked me not to call radio
0,"living is very simple.. loving is also simple.. laughing is too simple.. winning is tooo simple.. but, being 'simple' is very difficult.. gud nte.:-"
0,have a good evening! ttyl
0,"no shit, but i wasn't that surprised, so i went and spent the evening with that french guy i met in town here and we fooled around a bit"
0,lmao where's your fish memory when i need it?
1,"prem jewellrs vijaynagar lucky draw scheme , monthly rs 300 for 12 month, every month lucky member will be given rs3600 gold or silver article.call-9008097492"
0,come to medical college at 7pm ......forward it da
0,nothing. can...
0,yeah that's the impression i got
0,i cant wait to see you! how were the photos were useful? :)
0,huh but i cant go 2 ur house empty handed right?
0,i am late. i will be there by evening
0,u r the most beautiful girl ive ever seen. u r my baby come and c me in the common room
0,"good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india."
0,"and very importantly, all we discuss is between u and i only."
0,you'd like that wouldn't you? jerk!
0,i can't make it tonight
1,"todays vodafone numbers ending 5263 are selected to receive a rs.2,00,000 award. if you have a match please call 6200992462 quoting claim code 4267 standard rates apply"
0,k actually can you guys meet me at the sunoco on howard? it should be right on the way
0,i think you should go the honesty road. call the bank tomorrow. its the tough decisions that make us great people.
0,i will come in half an hour
0,no de.am seeing in online shop so that i asked.
1,"dear customer,u've been selected to stay in f1ve star hotels - for t0day's draw! holiday valued at inr 5,00,000.dial 7679046492 to claim"
0,yes baby! i need to stretch open your pussy!
1,"your tax refund of �349.14 is ready to be claimed. to access your refund, follow the steps required. http:/bit.do/claim-tax"
1,double your mins & txts on orange or 1/2 price linerental - motorola and sonyericsson with b/tooth free-nokia free call mobileupd8 on 08000839402 or2optout/hv9d
0,u come n search tat vid..not finishd..
0,when the first strike is a red one. the bird + antelope begin toplay in the fieldof selfindependence believe this + the flower of contention will grow.random!
0,ok thanx... take care then...
0,"ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online, you arrange shipping and you get a cut. or u????? for a partnership where u????? invest money for shipping and he takes care of the rest!u??wud b self reliant soon dnt worry"
0,"guy, no flash me now. if you go call me, call me. how madam. take care oh."
0,"sorry, i'll call later�buzy in some work.."
0,ü got wat to buy tell us then ü no need to come in again.
0,"say this slowly.? god,i love you and i need you,clean my heart with your blood.send this to ten special people, u c miracle tomorrow.."
0,"k i'm ready, &lt;#&gt; ?"
0,oops. 4 got that bit.
0,sorry i've not gone to that place. i.ll do so tomorrow. really sorry.
0,hey loverboy! i love you !! i had to tell ... i look at your picture and ache to feel you between my legs ... fuck i want you ... i need you ... i crave you .
0,yo dude guess who just got arrested the other day
0,i calls you later. afternoon onwords mtnl service get problem in south mumbai. i can hear you but you cann't listen me.
0,i am great! how are you?
0,"yeah, give me a call if you've got a minute"
0,i'm putting it on now. it should be ready for &lt;time&gt;
0,ujhhhhhhh computer shipped out with address to sandiago and parantella lane. wtf. poop.
0,aight should i just plan to come up later tonight?
0,"no, i was trying it all weekend ;v"
0,yes:)from last week itself i'm taking live call.
0,"how is my boy? no sweet words left for me this morning ... *sighs* ... how goes you day, my love ? did you start your studying?"
0,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
0,"edison has rightly said, ""a fool can ask more questions than a wise man can answer"""
1,someone has conacted our dating service and entered your phone because they fancy you!to find out who it is call from landline 09111030116. pobox12n146tf15
0,"sorry, i'll call later..lets meet later.."
0,"fr'ndship is like a needle of a clock. though v r in d same clock, v r nt able 2 met. evn if v meet,itz only 4few seconds. bt v alwys stay conected. gud 9t;-)"
1,"urgent! dear fl1pkart customer, we are trying to contact you. last weekends draw shows that you w0n a rs.4,00,000 prize guaranteed. call 8927307655. claim code lucky52. valid 12hrs only."
0,its a great day. do have yourself a beautiful one.
0,what's your room number again? wanna make sure i'm knocking on the right door
0,"k.. i yan jiu liao... sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
1,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu"
0,"that's cool he'll be here all night, lemme know when you're around"
0,"that would be good … i'll phone you tomo lunchtime, shall i, to organise something?"
0,aww you must be nearly dead!well jez iscoming over todo some workand that whilltake forever!
0,hmmm:)how many players selected?
0,u wan 2 haf lunch i'm in da canteen now.
0,you bad girl. i can still remember them
0,don know. i did't msg him recently.
0,for many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
1,you have won a guaranteed £1000 cash or a £2000 prize. to claim yr prize call our customer service representative on 08714712412 between 10am-7pm cost 10p
0,i know you are serving. i mean what are you doing now.
0,ok. wonderful�
0,ugh just got outta class
1,"noida hottest property on express way * today homes ridge residency at sec 135 with2,3,4 bhk available in 2370p/sq. fts *for query call@9250230534"
0,"ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
0,i am on the way to office
0,ok enjoy . r u there in home.
0,i'm at home n ready...
0,i'm gonna rip out my uterus.
1,"1000's flirting now! txt girl or bloke & ur name & age, eg girl zoe 18 to 8007 to join and get chatting!"
0,s'fine. anytime. all the best with it.
0,ello babe u ok?
0,are your freezing ? are you home yet ? will you remember to kiss your mom in the morning? do you love me ? do you think of me ? are you missing me yet ?
0,"hi, wkend ok but journey terrible. wk not good as have huge back log of marking to do"
0,then wat r u doing now? busy wif work?
0,dont gimme that lip caveboy
0,yes. last practice
0,dear got bus directly to calicut
0,once free call me sir. i am waiting for you.
0,have you ever had one foot before?
0,u horrible gal... u knew dat i was going out wif him yest n u still come n ask me...
0,meet you in corporation st outside gap … you can see how my mind is working!
1,free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 87077..zed pobox 36504 w45wq norm150p/tone 16+
0,"nothing, i got msg frm tht unknown no.."
0,sac needs to carry on:)
0,ok.ok ok..then..whats ur todays plan
0,i'll meet you in the lobby
1,yes! the only place in town to meet exciting adult singles is now in the uk. txt chat to 86688 now! 150p/msg.
0,send me the new number
0,not yet chikku..wat abt u?
1,"ou are guaranteed the latest nokia phone, a 40gb ipod mp3 player or a £500 prize! txt word: collect to no: 83355! ibhltd ldnw15h 150p/mtmsgrcvd18"
1,splashmobile: choose from 1000s of gr8 tones each wk! this is a subscrition service with weekly tones costing 300p. u have one credit - kick back and enjoy
0,only if you promise your getting out as soon as you can. and you'll text me in the morning to let me know you made it in ok.
0,ü dun wan to watch infernal affair?
0,oh ya ya. i remember da. .
1,"congratulations!!! you are due for a covid-19 grant, to redeem,contact us via email: covid19grant@cokegrant.com"
0,same as u... dun wan... y u dun like me already ah... wat u doing now? still eating?
1,"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k"
0,"rose for red,red for blood,blood for heart,heart for u. but u for me.... send tis to all ur friends.. including me.. if u like me.. if u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
1,congratulations ur awarded either £500 of cd gift vouchers & free entry 2 our £100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16
1,your sam registration has been received! click here to complete the process�http://rghst.xyz/nphtmtb reply stop 2 opt out of future texts
0,s but not able to sleep.
0,"awesome, i remember the last time we got somebody high for the first time with diesel :v"
0,"hey ! i want you ! i crave you ! i miss you ! i need you ! i love you, ahmad saeed al hallaq ..."
0,"now u sound like manky scouse boy steve,like! i is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
0,you got called a tool?
0,"yo, you around? just got my car back"
0,still i have not checked it my dear..
1,"free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or £250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022"
0,hey anyway i have to :-)
1,call germany for only 1 pence per minute! call from a fixed line via access number 0844 861 85 85. no prepayment. direct access!
0,black shirt n blue jeans... i thk i c ü...
0,happy birthday... may u find ur prince charming soon and u stay happy!!
1,dear u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688 150p/msgrcvdhg/suite342/2lands/row/w1j6hl ldn 18 yrs
0,or remind me in a few hrs.
0,"'wnevr i wana fal in luv vth my books, my bed fals in luv vth me..!'' . yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) gud eveb-)."
0,thats cool princess! i will cover your face in hot sticky cum :)
0,kinda. first one gets in at twelve! aah. speak tomo
1,ur ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? txt club stop to 87070. 150p/wk club4 po box1146 mk45 2wt
0,jus finish my lunch on my way home lor... i tot u dun wan 2 stay in sch today...
1,dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call 08704439680. when booking quote 1st class x 2
0,so when do you wanna gym?
0,fuck cedar key and fuck her (come over anyway tho)
0,wat happened to the cruise thing
0,hope this text meets you smiling. if not then let this text give you a reason to smile. have a beautiful day.
0,im just wondering what your doing right now?
0,thought i didn't see you.
0,what happen dear tell me
1,hmv bonus special 500 pounds of genuine hmv vouchers to be won. play now! send hmv to 86688 more info:www.100percent-real.com
0,wif my family booking tour package.
0,esplanade lor. where else...
0,the beauty of life is in next second.. which hides thousands of secrets. i wish every second will be wonderful in ur life...!! gud n8
0,hello..wake up.sweet morning welcomes you. enjoy this day with full of joy.
0,can i get your opinion on something first?
0,where are you ? what are you doing ? are yuou working on getting the pc to your mom's ? did you find a spot that it would work ? i need you
0,"i wake up long ago already... dunno, what other thing?"
1,"congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!"
1,dear (paytm)customer your paytm kyc has been suspended pay-tm office ph 8536074310 your paytm a/c will block within 24hr thank you.
0,oh dang! i didn't mean o send that to you! lol!
0,im fine babes aint been up 2 much tho! saw scary movie yest its quite funny! want 2mrw afternoon? at town or mall or sumthin?xx
0,is ur changes 2 da report big? cos i've already made changes 2 da previous report.
0,pls help me tell ashley that i cant find her number oh
0,s:)s.nervous &lt;#&gt; :)
0,does daddy have a bb now.
0,then u go back urself lor...
1,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
0,hope ur head doesn't hurt 2 much ! am ploughing my way through a pile of ironing ! staying in with a chinky tonight come round if you like.
0,hi. || do u want | to join me with sts later? || meeting them at five. || call u after class.
0,aiyar hard 2 type. u later free then tell me then i call n scold n tell u.
0,ok which your another number
0,dai i downloaded but there is only exe file which i can only run that exe after installing.
0,mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! good indian?
0,he dint tell anything. he is angry on me that why you told to abi.
0,"i'm nt goin, got somethin on, unless they meetin 4 dinner lor... haha, i wonder who will go tis time..."
0,just chill for another 6hrs. if you could sleep the pain is not a surgical emergency so see how it unfolds. okay
0,i hope you know i'm still mad at you.
0,oops my phone died and i didn't even know. yeah i like it better.
0,"night has ended for another day, morning has come in a special way. good morning"
0,our prasanth ettans mother passed away last night. just pray for her soul�
0,shhhhh nobody is supposed to know!
0,can you use foreign stamps for whatever you send them off for?
0,omg i want to scream. i weighed myself and i lost more weight! woohoo!
0,jus finish watching tv... u?
0,meet after lunch la...
0,ya:)going for restaurant..
1,"loan inr5,00,000 - 7,50,000. homeowners + tenants welcome. have you been previously refused? we can still help. call free 0800 1956669"
0,wot u up 2 j?
0,cool. do you like swimming? i have a pool and jacuzzi at my house.
0,yes:)sura in sun tv.:)lol.
0,thought praps you meant another one. goodo! i'll look tomorrow
0,howz that persons story..have u heard that?
0,wot u wanna do then missy?
0,ok lor� vey good..
0,lol yes. but it will add some spice to your day.
0,you should change your fb to jaykwon thuglyfe falconerf
0,so its to be poking man everyday that they teach you in canada abi! how are you. just saying hi.
0,hope you are having a great new semester. do wish you the very best. you are made for greatness.
1,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 0906517113-stopsms-08
0,no i don't have cancer. moms making a big deal out of a regular checkup aka pap smear
0,no wonder... cos i dun rem seeing a silver car... but i thk i saw a black one...
1,you have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). its a legitimat efreefone number wat do u think???
0,"single line with a big meaning::::: ""miss anything 4 ur ""best life"" but, don't miss ur best life for anything... gud nyt..."
0,jay's getting really impatient and belligerent
0,ok i'm coming home now.
0,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!
0,ok... but they said i've got wisdom teeth hidden inside n mayb need 2 remove.
0,or just do that 6times
0,oh god i am happy to see your message after 3 days
0,"came to look at the flat, seems ok, in his 50s? * is away alot wiv work. got woman coming at 6.30 too."
0,"nt only for driving even for many reasons she is called bbd..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? any problem?"
0,k.i will send in &lt;#&gt; min:)
0,these won't do. have to move on to morphine
0,purity of friendship between two is not about smiling after reading the forwarded message..its about smiling just by seeing the name. good morning
0,poor girl can't go one day lmao
0,this is my number by vivek..
1,free msg: ringtone!from: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-jul-05
1,guess who am i?this is the first time i created a web page www.asjesus.com read all i wrote. i'm waiting for your opinions. i want to be your friend 1/1
0,carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and i'll tell him to haul ass
0,lol i know! hey someone did a great inpersonation of flea on the forums. i love it!
0,u can call now...
0,you still at grand prix?
0,he is world famamus....
0,ok. me watching tv too.
0,yeah my usual guy's out of town but there're definitely people around i know
0,ü give me some time to walk there.
0,mm i had my food da from out
0,"mmmmm ... it was sooooo good to wake to your words this morning, my love!! mmmm ... i love you too, my lion ... *devouring kiss from across the sea*"
1,freemsg hi baby wow just got a new cam moby. wanna c pic? or fancy a chat?im w8in 4utxt / rply chat to 82242 hlp 08712317606 msg150p 2rcv
1,fancy a shag? i do.interested? sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x
0,today my system sh get ready.all is well and i am also in the deep well
0,hey come online! use msn... we are all there
0,thanx 4 sending me home...
0,you're not sure that i'm not trying to make xavier smoke because i don't want to smoke after being told i smoke too much?
0,is there any training tomorrow?
0,oic... then better quickly go bathe n settle down...
1,"welcome to uk-mobile-date this msg is free giving you free calling to 08719839835. future mgs billed at 150p daily. to cancel send ""go stop"" to 89123"
1,do you want a new video phone? 600 anytime any network mins 400 inclusive video calls and downloads 5 per week free deltomorrow call 08002888812 or reply now
1,private! your 2003 account statement for 07815296484 shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code 41782 expires 18/11/04
0,i told her i had a dr appt next week. she thinks i'm gonna die. i told her its just a check. nothing to be worried about. but she didn't listen.
0,some of them told accenture is not confirm. is it true.
0,i sent them. have u got that?
0,well its not like you actually called someone a punto. that woulda been worse.
0,when you came to hostel.
0,which is weird because i know i had it at one point
0,true. its easier with her here.
